labsampnum,db_13b,w0,w6clodVMW,w10cldVMW,w3cldVMW,w15l2VMW,COLEws,adod,cec7_cly,w15cly,result_source_key,latitude_decimal_degrees,longitude_decimal_degrees,lab_texture_class,sand_tot_psa,silt_tot_psa,clay_tot_psa,db_od,alpha,Ko,Ks,Lpar,npar,theta_r,theta_s,ten_npar,ten_alpha
04N01885,1.45,0.452830189,0.3828,0.3741,0.348,0.16675,0.022,1.014,NA,0.41,190706,NA,NA,sicl,5.9,66,28.1,1.55,-2.34138797,0.110185529,1.048703883,0.387907605,0.171807898,0.069173839,0.439058369,1.485278512,0.004556297
04N01886,1.26,0.524528302,0.44352,0.43722,0.41832,0.28224,0.094,1.029,NA,0.36,190707,NA,NA,c,6.3,30.7,63,1.65,-1.843302659,0.582772491,1.369133185,-1.582500839,0.087607625,0.092097726,0.530003975,1.223510287,0.014344894
04N01887,1.24,0.532075472,0.41168,0.40672,0.38564,0.12648,0.016,1.012,NA,0.62,190708,NA,NA,sil,6.4,77.2,16.4,1.3,-2.732551502,-0.066445075,1.586175744,0.833019955,0.297571635,0.071739204,0.475093583,1.984136905,0.001851179
04N01888,1.39,0.475471698,0.39476,0.38503,0.35862,0.10842,0.012,1.011,NA,0.49,190709,NA,NA,sil,6.4,77.7,15.9,1.44,-2.747461734,-0.079640165,1.354089476,0.845104117,0.299068219,0.06239768,0.438704555,1.990986059,0.001788703
04N01889,1.37,0.483018868,0.3836,0.37949,0.36579,0.12604,0.024,1.011,NA,0.42,190710,NA,NA,sil,5.1,72.9,22,1.47,-2.695648544,-0.078287804,1.292560843,0.791931298,0.275502167,0.069220079,0.450831161,1.885828379,0.002015355
04N01890,1.32,0.501886792,0.41448,0.41052,0.39204,0.132,0.014,1.012,NA,0.57,190711,NA,NA,sil,10.5,71.9,17.6,1.38,-2.80643439,-0.143636669,1.387376719,0.767987743,0.307529332,0.076116136,0.463612805,2.030155631,0.001561585
04N01891,1.48,0.441509434,0.38332,0.37444,0.34632,0.18352,0.017,1.013,NA,0.4,190712,NA,NA,sicl,5.8,63.5,30.7,1.56,-2.197437854,0.222546372,0.920531409,0.057605969,0.141283734,0.070335883,0.435963673,1.384470588,0.006346907
04N01892,1.49,0.437735849,0.35462,0.35015,0.33078,0.12814,0.021,1.011,NA,0.48,190713,NA,NA,sil,10.9,71.3,17.8,1.59,-2.510047074,0.032252061,1.201760681,0.634310536,0.217443512,0.056664103,0.411288992,1.649846394,0.00308996
04N01893,1.52,0.426415094,0.34048,0.33744,0.32832,0.17784,0.023,1.013,NA,0.51,190714,NA,NA,sil,10.6,66.4,23,1.63,-2.077215629,0.371257511,1.053459126,-0.272218578,0.12763709,0.063814229,0.414659593,1.341643374,0.008371135
04N01894,1.3,0.509433962,0.3939,0.39,0.3731,0.1352,0.031,1.012,NA,0.46,190715,NA,NA,sil,11,66.2,22.8,1.43,-2.657950406,-0.057120782,1.410870261,0.798190159,0.262346333,0.070625711,0.460188855,1.829558637,0.002198111
04N01895,1.28,0.516981132,0.4096,0.40704,0.38784,0.17536,0.024,1.013,NA,0.4,190716,NA,NA,sicl,6.9,58.6,34.5,1.38,-2.494775717,-0.007869306,1.236730285,0.63128887,0.208130067,0.082049258,0.486833468,1.614842114,0.003200548
04N01896,1.31,0.505660377,0.39693,0.39038,0.36418,0.14803,0.021,1.012,NA,0.47,190717,NA,NA,sil,14,62.2,23.8,1.4,-2.530245447,0.012960603,1.389533545,0.713946716,0.22475228,0.069096441,0.456740301,1.677846707,0.002949542
04N01897,1.5,0.433962264,0.3465,0.339,0.3195,0.1575,0.015,1.01,NA,0.43,190718,NA,NA,sil,14.6,60.8,24.6,1.58,-2.185116381,0.2871217,1.048003376,0.075686759,0.149084212,0.059807487,0.410674348,1.409562093,0.006529556
04N01898,1.51,0.430188679,0.34277,0.33371,0.31257,0.23103,0.02,1.014,NA,0.38,190719,NA,NA,sic,16.5,43.1,40.4,1.61,-1.43603608,0.911032106,0.889804238,-3.12188784,0.087343867,0.097711275,0.421470144,1.222767443,0.036640713
04N01899,1.3,0.509433962,0.4017,0.3952,0.377,0.1768,0.024,1.013,NA,0.54,190720,NA,NA,sil,14.6,60,25.4,1.4,-2.426552149,0.050350309,1.387362783,0.569859551,0.19306495,0.075752762,0.470175001,1.559785756,0.003744966
04N01900,1.43,0.460377358,0.39468,0.38753,0.36608,0.28886,0.029,1.019,NA,0.36,190721,NA,NA,c,7.4,37,55.6,1.57,-1.379069641,0.92377994,1.054841358,-4.382084371,0.073930247,0.115770924,0.466762667,1.185578315,0.041776337
04N01901,1.45,0.452830189,0.37845,0.3741,0.36105,0.16675,0.04,1.012,NA,0.47,190722,NA,NA,sil,16,59.4,24.6,1.65,-2.477618731,-0.004405729,1.032926683,0.566450536,0.192947559,0.068783661,0.435059344,1.559364198,0.003329517
04N01902,1.06,0.6,0.49714,0.48972,0.47382,0.18868,0.044,1.02,NA,0.69,190723,NA,NA,sil,15.5,58.8,25.7,1.21,-2.807949785,-0.173119537,1.732004051,0.496067616,0.298479258,0.106648582,0.544245888,1.988287847,0.001556146
04N01903,1.15,0.566037736,0.43585,0.4301,0.414,0.18745,0.029,1.018,NA,0.62,190724,NA,NA,sil,16.4,57.2,26.4,1.26,-2.522601652,-0.009233288,1.665599997,0.683741124,0.217605534,0.085872835,0.510530561,1.650462017,0.003001915
04N01904,1.43,0.460377358,0.4004,0.39611,0.38038,0.28314,0.026,1.013,NA,0.39,190725,NA,NA,c,15.4,34.3,50.3,1.56,-1.567483328,0.798127602,0.956282432,-3.682969226,0.071710548,0.093353948,0.466944802,1.179534228,0.027071771
04N01905,1.24,0.532075472,0.45508,0.44888,0.434,0.1674,0.018,1.013,NA,0.69,190726,NA,NA,sil,20,60.3,19.7,1.31,-2.846509287,-0.203879983,1.418838332,0.663161817,0.303501222,0.091170808,0.491121147,2.011412858,0.001423937
04N01906,1.35,0.490566038,0.42795,0.42255,0.4104,0.1431,0.018,1.011,NA,0.52,190727,NA,NA,sil,18,61.7,20.3,1.43,-2.892678045,-0.218989646,1.188396975,0.69659036,0.319499045,0.082680161,0.46272301,2.086887535,0.00128033
